"step","N"
"1_total",59842
"2_female",30213
"3_age_ge20",17907
"4_ever_pregnant",12955
"5_gdm_reported",12925
"6_diet_ok",12181
"7_sleep_ok",12158
"8_core_cov_ok",11209
"9_mort_eligible",11186
